period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,158550.0,235150.0,128.44463542992955,135.58906743996957,3.5,2.5,3.5,4.5,1.35,35.0,0.9700743858193506,0.1666666666666666,0.225,0.5,0.36,0.0
2019-02-28,159225.0,240950.0,121.43254616428118,130.46015382971905,2.5,2.5,1.5,3.0,1.5,38.5,1.0042253634946443,0.125,1.0,0.0,0.41,-0.0545923093025841
2019-03-31,187500.0,267200.0,125.97264803770253,139.4002109965799,1.5,1.0,2.5,4.0,3.0,143.0,0.9645866224813594,0.0,,0.0,0.7,0.0373878504307998
2019-04-30,128625.0,329750.0,76.5151515151515,148.9862238364704,1.0,3.0,1.0,2.0,2.0,29.0,1.020165564003818,0.5,,0.25,1.11,-0.3926050400063736
2019-05-31,197000.0,260450.0,131.5252286098442,146.17574064110795,3.5,2.5,2.5,1.5,0.4999999999999999,20.0,0.960785197688811,0.0,0.5,0.75,1.07,0.7189435818316274
2019-06-30,150725.0,232000.0,128.14112772871897,141.5007334878361,2.5,1.0,3.0,3.5,1.5,29.5,0.9792512125769126,0.1666666666666666,,1.0,0.95,-0.0257296711580999
2019-07-31,235500.0,272000.0,140.5590818189723,142.34552295665267,2.0,4.0,1.0,2.0,1.65,70.5,0.9781963943378884,0.1666666666666666,0.3333333333333333,0.25,0.35,0.096908418946825
2019-08-31,153500.0,219900.0,118.02165954850518,108.69565217391305,2.0,5.0,9.0,5.0,2.5,17.0,0.9866058066447172,0.5,0.4,0.8,0.35,-0.1603412741376136
2019-09-30,162550.0,260000.0,130.3563940533135,178.90350877192984,3.0,1.5,1.0,3.0,1.0,26.0,0.9980108445038643,0.3333333333333333,0.75,0.0,0.49,0.1045124645085922
2019-10-31,144250.0,268675.0,120.27539396074503,151.7500063183935,2.5,1.0,1.0,3.0,1.15,54.5,0.977402950866638,0.0,0.5,0.0,0.64,-0.0773341435667935
2019-11-30,211000.0,270000.0,159.24528301886792,175.52992872760314,1.0,2.0,1.0,1.0,1.0,29.0,0.9813953488372092,0.0,,0.0,0.82,0.3240054991700274
2019-12-31,172500.0,235000.0,127.67207486487148,113.81878111746266,1.5,1.5,3.0,5.0,2.5,27.0,1.0069734345351045,0.75,,0.5,1.02,-0.1982677763224895
