period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,,,,,,,,,,,,,,,0.54,0.0
2019-02-28,,,,,,,,,,,,,,,0.97,
2019-03-31,,,,,,,,,,,,,,,1.9,
2019-04-30,,,,,,,,,,,,,,,2.1,
2019-05-31,,,,,,,,,,,,,,,1.75,
2019-06-30,545000.0,,232.90598290598288,,1.0,2.0,,,,4.0,0.9909090909090909,0.0,,1.0,1.04,
2019-07-31,540427.5,,263.44436446073087,,2.0,,,,,3.0,1.0198669560294396,1.0,,,1.09,0.1311189226387346
2019-08-31,,,,,,,,,,,,,,,1.61,0.0
2019-09-30,,,,,,,,,,,,,,,2.21,0.0
2019-10-31,,,,,,,,,,,,,,,1.86,0.0
2019-11-30,575000.0,,252.1929824561404,,1.0,1.0,,,,3.0,0.974741481607052,0.0,,0.0,1.82,-0.0427087595045806
2019-12-31,500000.0,,253.5703650995603,,2.0,,,,,34.0,0.9929577464788732,0.0,,,1.09,0.0054616216121692
2020-01-31,585000.0,,250.0,,1.0,,,,,36.0,0.9881756756756755,0.0,,,1.54,-0.0140803721213969
2020-02-29,,,,,,,,,,,,,,,1.47,0.0
2020-03-31,,,,,,,,,,,,,,,1.51,0.0
2020-04-30,,,,,,,,,,,,,,,1.64,0.0
2020-05-31,,,,,,,,,,,,,,,2.28,0.0
2020-06-30,590000.0,478995.0,258.7719298245614,187.526521038254,1.0,2.0,1.0,,,14.0,0.9849749582637728,0.0,,1.0,2.91,0.0350877192982457
2020-07-31,,,,,,,,,,,,,,,3.15,0.0
2020-08-31,590000.0,,258.88547608600265,,1.0,,,1.0,1.0,3.0,1.0,0.0,1.0,,3.47,0.0004387889425185
2020-09-30,532000.0,,263.88888888888886,,1.0,1.0,,,,36.0,0.99644128113879,0.0,,0.0,4.37,0.0193267419962333
2020-10-31,,,,,,,,,,,,,,,4.88,0.0
2020-11-30,,,,,,,,,,,,,,,5.01,0.0
2020-12-31,569900.0,,259.04545454545456,,1.0,,,,,,1.0,0.0,,,5.51,-0.0183540669856457
2021-01-31,,,,,,,,,,,,,,,4.91,0.0
2021-02-28,,,,,,,,,,,,,,,5.48,0.0
2021-03-31,,,,,,,,,,,,,,,5.6,0.0
2021-04-30,,,,,,,,,,,,,,,6.12,0.0
2021-05-31,,,,,,,,,,,,,,,5.18,0.0
2021-06-30,,,,,,,,,,,,,,,4.47,0.0
2021-07-31,582500.0,,264.77272727272725,,1.0,,,,,,1.0,0.0,,,3.9,0.0221091419547287
2021-08-31,578500.0,,260.0,,1.0,,,,,6.0,1.0,0.0,,,4.35,-0.0180257510729613
2021-09-30,,,,,,,,,,,,,,,4.91,0.0
2021-10-31,575900.0,,284.39506172839504,,1.0,,,,,,1.0,0.0,,,6.04,0.093827160493827
2021-11-30,587500.0,,264.63963963963965,,1.0,,,,,27.0,1.0155574762316335,1.0,,,6.35,-0.0694647156272436
2021-12-31,590000.0,592500.0,280.5131127561614,210.9621451104101,2.0,1.0,1.0,,,,1.0,0.0,,1.0,6.48,0.0599814643722182
2022-01-31,,,,,,,,,,,,,,,7.21,0.0
2022-02-28,,,,,,,,,,,,,,,7.84,0.0
2022-03-31,,,,,,,,,,,,,,,8.92,0.0
2022-04-30,,,,,,,,,,,,,,,8.67,0.0
