period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,270000.0,,259.11708253358927,,2.0,1.0,,,,275.0,1.0,0.0,,0.0,0.37,0.0
2019-02-28,,,,,,,,,,,,,,,0.54,0.0
2019-03-31,,,,,,,,,,,,,,,0.69,0.0
2019-04-30,,,,,,,,,,,,,,,0.42,0.0
2019-05-31,217500.0,721000.0,282.83485045513646,315.56082148499206,1.0,1.0,2.0,3.0,3.0,73.0,0.9886408574584428,0.0,,0.0,0.25,0.0915330154601932
2019-06-30,,,,,,,,,,,,,,,0.1,0.0
2019-07-31,,,,,,,,,,,,,,,0.0,0.0
2019-08-31,,,,,,,,,,,,,,,0.33,0.0
2019-09-30,248750.0,,275.77443098572564,,2.0,,,2.0,1.0,116.0,0.977076802507837,0.0,,,0.56,-0.0249630463079398
2019-10-31,,,,,,,,,,,,,,,0.79,0.0
2019-11-30,270000.0,575000.0,259.11708253358927,318.73161163779014,1.0,,1.0,2.0,2.0,202.0,0.9473684210526316,0.0,,,0.66,-0.0604020771345498
2019-12-31,275000.0,,263.915547024952,,1.0,,,1.0,1.0,318.0,0.985663082437276,0.0,,,0.54,0.0185185185185183
2020-01-31,,,,,,,,,,,,,,,0.88,0.0
2020-02-29,,,,,,,,,,,,,,,0.99,0.0
2020-03-31,295000.0,689000.0,283.10940499040305,321.28712871287127,1.0,,1.0,2.0,2.0,114.0,0.9516159729547514,0.0,,,0.92,0.0727272727272727
2020-04-30,,,,,,,,,,,,,,,2.82,0.0
2020-05-31,,,,,,,,,,,,,,,4.17,0.0
2020-06-30,,,,,,,,,,,,,,,5.19,0.0
2020-07-31,,,,,,,,,,,,,,,4.18,0.0
2020-08-31,,,,,,,,,,,,,,,4.46,0.0
2020-09-30,305000.0,,292.7063339731286,,1.0,,,1.0,1.0,170.0,0.9838709677419356,0.0,,,4.34,0.0338983050847458
2020-10-31,229500.0,,,,1.0,,,,,265.0,1.0,0.0,,,4.68,0.0
2020-11-30,,,,,,,,,,,,,,,4.63,0.0
2020-12-31,,,,,,,,,,,,,,,5.11,0.0
2021-01-31,,,,,,,,,,,,,,,5.21,0.0
2021-02-28,,,,,,,,,,,,,,,5.06,0.0
2021-03-31,,,,,,,,,,,,,,,5.65,0.0
2021-04-30,,,,,,,,,,,,,,,5.41,0.0
2021-05-31,,,,,,,,,,,,,,,5.17,0.0
2021-06-30,,,,,,,,,,,,,,,4.88,0.0
2021-07-31,,,,,,,,,,,,,,,4.5,0.0
2021-08-31,230000.0,,299.0897269180754,,1.0,1.0,,2.0,2.0,62.0,1.0,0.0,,0.0,4.79,0.0218081817988018
2021-09-30,,,,,,,,,,,,,,,4.69,0.0
2021-10-31,300000.0,924450.0,287.90786948176583,360.05535977497846,1.0,,3.0,7.0,7.0,102.0,0.967741935483871,0.0,,,5.3,-0.0373862972544438
2021-11-30,,,,,,,,,,,,,,,4.86,0.0
2021-12-31,305000.0,864499.5,292.7063339731286,388.4912257553767,1.0,,1.0,7.0,7.0,152.0,0.9838709677419356,0.0,,,4.17,0.0166666666666668
2022-01-31,,,,,,,,,,,,,,,3.58,0.0
2022-02-28,,,,,,,,,,,,,,,3.78,0.0
2022-03-31,,,,,,,,,,,,,,,4.46,0.0
2022-04-30,315000.0,869000.0,299.0897269180754,406.1334232875625,3.0,1.0,1.0,6.0,2.0,117.0,1.0211714553344422,0.3333333333333333,,0.0,4.37,0.0218081817988018
2022-05-31,,,,,,,,,,,,,,,4.1,0.0
2022-06-30,995000.0,869000.0,308.06142034548947,384.5307917888562,5.0,1.0,1.0,3.0,0.5999999999999999,224.0,0.9505082616921008,0.0,,0.0,3.8,0.0299966619377451
2022-07-31,995000.0,,284.2857142857143,,1.0,,,2.0,2.0,249.0,0.9053685168334848,0.0,,,4.22,-0.0771784601691144
2022-08-31,,,,,,,,,,,,,,,4.55,0.0
2022-09-30,,,,,,,,,,,,,,,4.45,0.0
2022-10-31,,,,,,,,,,,,,,,4.03,0.0
2022-11-30,325000.0,794000.0,312.85602494907766,354.0843214756258,3.0,1.0,1.0,1.0,0.2999999999999999,153.0,0.9853878591742667,0.0,,0.0,4.01,0.1004985802228863
2022-12-31,327500.0,,314.29942418426106,,1.0,,,1.0,1.0,104.0,0.9776119402985076,0.0,,,4.47,0.0046136213468106
2023-01-31,,,,,,,,,,,,,,,5.17,0.0
2023-02-28,,,,,,,,,,,,,,,6.34,0.0
2023-03-31,,,,,,,,,,,,,,,7.04,0.0
2023-04-30,,,,,,,,,,,,,,,7.67,0.0
2023-05-31,,,,,,,,,,,,,,,8.56,0.0
2023-06-30,,,,,,,,,,,,,,,8.28,0.0
2023-07-31,,,,,,,,,,,,,,,9.09,0.0
2023-08-31,,,,,,,,,,,,,,,6.66,0.0
2023-09-30,230000.0,,299.0897269180754,,1.0,,,2.0,2.0,175.0,0.8849557522123894,0.0,,,6.46,-0.0483923803095127
2023-10-31,,,,,,,,,,,,,,,5.109447219371796,-0.0009272912662915526
2023-11-30,,,,,,,,,,,,,,,6.5891579353809355,-0.061846873496213144
2023-12-31,,,,,,,,,,,,,,,8.322367320656776,-0.00979455557858866
2024-01-31,,,,,,,,,,,,,,,10.033131841421127,-0.015712082219249187
2024-02-29,,,,,,,,,,,,,,,7.3370726609230035,0.0059552305154292745
2024-03-31,,,,,,,,,,,,,,,11.234426761865615,-0.05955414956807365
2024-04-30,,,,,,,,,,,,,,,6.740188044905662,-0.060948142343274156
