period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum,State,City,Property_Type
2020-06-30,1265000.0,1184000.0,730.4051043788189,613.7645287206699,14.0,24.0,32.0,56.0,4.0,36.0,0.9979425804409692,0.4285714285714285,0.2142857142857142,0.2083333333333333,2.58,0.11566501969793519,CA,Redondo Beach,Single Family Residential
2020-07-31,1360500.0,1099000.0,691.1217437533227,617.6129779837776,37.0,28.0,39.0,62.0,1.7,49.0,0.98296684442877,0.2702702702702702,0.1935483870967741,0.2857142857142857,2.67,-0.053782976583803044,CA,Redondo Beach,Single Family Residential
2020-08-31,1128500.0,1049500.0,782.1542610594197,612.9499862599615,32.0,26.0,27.0,60.0,1.9,24.0,1.0018133574460326,0.59375,0.1666666666666666,0.5,3.44,0.1317170500405911,CA,Redondo Beach,Single Family Residential
2020-09-30,1442750.0,1100000.0,735.5726049929121,606.4617237984187,32.0,35.0,39.0,55.0,1.7,36.0,1.0084476110327685,0.4375,0.2,0.3428571428571428,2.92,-0.05955558690355167,CA,Redondo Beach,Single Family Residential
2020-10-31,1244000.0,1200000.0,710.0907634810465,663.40567041654,31.0,24.0,33.0,61.0,2.0,35.0,1.0151992664089673,0.5806451612903226,0.2459016393442622,0.3333333333333333,2.68,-0.034642183978713104,CA,Redondo Beach,Single Family Residential
2020-11-30,1325000.0,1199500.0,730.3974221267456,613.303169261769,24.0,26.0,22.0,51.0,2.1,38.0,1.0260626051016737,0.5416666666666666,0.2549019607843137,0.1923076923076923,2.29,0.02859727191232664,CA,Redondo Beach,Single Family Residential
2020-12-31,1359000.0,1200000.0,793.8989290495315,652.085036794767,30.0,15.0,11.0,40.0,1.3,32.0,1.0399964041409453,0.5666666666666667,0.1499999999999999,0.2,3.22,0.08694103374281426,CA,Redondo Beach,Single Family Residential
2021-01-31,1245000.0,1235000.0,750.4921206320896,676.353448445204,20.0,22.0,27.0,37.0,1.9,50.0,1.0208890173933454,0.5,0.1081081081081081,0.3181818181818181,5.25,-0.05467548428287872,CA,Redondo Beach,Single Family Residential
2021-02-28,1292944.0,1275000.0,790.4379102857774,633.3333333333334,24.0,24.0,26.0,30.0,1.3,50.0,1.027155258387132,0.5416666666666666,0.1333333333333333,0.375,7.86,0.05322612797059634,CA,Redondo Beach,Single Family Residential
2021-03-31,1400000.0,1299000.0,781.7679558011049,662.2203098106712,37.0,30.0,41.0,36.0,1.0,27.0,1.0384704625299803,0.5405405405405405,0.1666666666666666,0.5666666666666667,9.61,-0.010968545880520764,CA,Redondo Beach,Single Family Residential
2021-04-30,1400000.0,1299000.0,746.2686567164179,656.8635438732833,37.0,32.0,41.0,42.0,1.1,20.0,1.0624137766742774,0.7297297297297297,0.0476190476190476,0.53125,9.91,-0.045408997415748,CA,Redondo Beach,Single Family Residential
2021-05-31,1474500.0,1299000.0,795.2116304418956,673.8487536966625,28.0,37.0,35.0,40.0,1.4,25.0,1.0470900045257236,0.6071428571428571,0.125,0.4324324324324324,8.67,0.06558358479214021,CA,Redondo Beach,Single Family Residential
2021-06-30,1487500.0,1268000.0,808.7172956478689,647.878198898607,40.0,27.0,34.0,44.0,1.1,27.0,1.074638924310293,0.775,0.1363636363636363,0.2592592592592592,7.45,0.016983737019123035,CA,Redondo Beach,Single Family Residential
2021-07-31,1425000.0,1320000.0,938.1898454746135,690.0272781554646,27.0,37.0,37.0,44.0,1.6,33.0,1.0533214631427756,0.8148148148148147,0.1363636363636363,0.1891891891891892,5.79,0.1600961801157268,CA,Redondo Beach,Single Family Residential
2021-08-31,1430000.0,1260000.0,868.3778766029101,691.0679177278594,34.0,33.0,29.0,39.0,1.1,27.0,1.0473459081659493,0.676470588235294,0.2307692307692307,0.4242424242424242,4.38,-0.07441134564442753,CA,Redondo Beach,Single Family Residential
2021-09-30,1535000.0,1299000.0,851.7260894170912,702.9411764705883,29.0,29.0,33.0,39.0,1.3,31.0,1.0320885395864967,0.7241379310344827,0.1538461538461538,0.3448275862068965,3.05,-0.01917573862079558,CA,Redondo Beach,Single Family Residential
2021-10-31,1502500.0,1290000.0,991.793720080735,731.93359375,38.0,33.0,18.0,21.0,0.5999999999999999,35.0,1.043285351465593,0.6578947368421053,0.2857142857142857,0.3333333333333333,4.05,0.16445149726422503,CA,Redondo Beach,Single Family Residential
2021-11-30,1515000.0,1272500.0,888.3248730964467,708.5301451950529,21.0,16.0,13.0,13.0,0.5999999999999999,27.0,1.0181696772369482,0.619047619047619,0.1538461538461538,0.375,4.85,-0.10432496686495019,CA,Redondo Beach,Single Family Residential
2021-12-31,1525000.0,1300000.0,901.3068949977468,749.6012759170654,19.0,11.0,4.0,5.0,0.2999999999999999,30.0,1.0606262368145671,0.6842105263157894,0.2,0.2727272727272727,6.8,0.014614047511749328,CA,Redondo Beach,Single Family Residential
2022-01-31,1368750.0,1299000.0,980.853996253579,738.695652173913,12.0,6.0,13.0,12.0,1.0,18.0,1.0451455790541722,0.6666666666666666,0.25,0.5,7.46,0.08825750884334593,CA,Redondo Beach,Single Family Residential
2022-02-28,1570000.0,1399000.0,893.2346723044396,783.5820895522387,7.0,17.0,23.0,17.0,2.4,9.0,1.041063371172972,0.7142857142857143,0.1176470588235294,0.6470588235294118,9.59,-0.0893296293676793,CA,Redondo Beach,Single Family Residential
2022-03-31,1585000.0,1424000.0,1067.8642714570858,783.8106710179953,29.0,28.0,25.0,13.0,0.4,19.0,1.0587359802938814,0.6551724137931034,0.0769230769230769,0.5,9.77,0.19550248615195653,CA,Redondo Beach,Single Family Residential
2022-04-30,1825000.0,1437400.0,1078.4313725490197,768.2769991822139,23.0,18.0,24.0,18.0,0.8,16.0,1.1123201688608488,0.8260869565217391,0.2777777777777777,0.611111111111111,9.66,0.009895547003848426,CA,Redondo Beach,Single Family Residential
2022-05-31,1725000.0,1479499.5,946.7618002195388,784.5746500346952,15.0,21.0,34.0,31.0,2.1,13.0,1.0873812587706488,0.8,0.3548387096774193,0.5238095238095238,9.55,-0.1220936034327913,CA,Redondo Beach,Single Family Residential
2022-06-30,1700000.0,1344000.0,1044.1707146095223,820.6815310667968,30.0,27.0,40.0,44.0,1.5,23.0,1.0703550204621566,0.7333333333333332,0.2954545454545454,0.2962962962962962,11.54,0.10288640117017378,CA,Redondo Beach,Single Family Residential
2022-07-31,1660000.0,1399000.0,965.5384966611496,793.4648581997534,22.0,22.0,25.0,47.0,2.1,28.0,1.0408808665471847,0.5,0.3191489361702127,0.2272727272727272,12.33,-0.07530590242399016,CA,Redondo Beach,Single Family Residential
2022-08-31,1568500.0,1420000.0,929.610050155118,759.4075260208167,18.0,19.0,19.0,43.0,2.4,33.0,1.0087557921114747,0.5,0.2790697674418604,0.1052631578947368,12.3,-0.03721078613672357,CA,Redondo Beach,Single Family Residential
2022-09-30,1527500.0,1375000.0,881.3913904327839,745.8048477315102,18.0,16.0,20.0,41.0,2.3,33.0,0.9931757273701716,0.3333333333333333,0.3414634146341463,0.25,10.97,-0.05186977024859851,CA,Redondo Beach,Single Family Residential
2022-10-31,1575000.0,1517499.5,914.6341463414634,811.1686002687379,21.0,14.0,19.0,42.0,2.0,56.0,0.9861135506648692,0.238095238095238,0.3095238095238095,0.2142857142857142,11.24,0.03771622490248805,CA,Redondo Beach,Single Family Residential
2022-11-30,1465000.0,1289000.0,859.0972014874733,800.0,8.0,18.0,17.0,37.0,4.6,52.0,0.9785768111924206,0.375,0.1621621621621621,0.3333333333333333,11.66,-0.060720393040362586,CA,Redondo Beach,Single Family Residential
2022-12-31,1620000.0,1799000.0,875.0991056984808,804.9501292944219,16.0,7.0,9.0,33.0,2.1,32.0,0.9924754144281512,0.4375,0.1212121212121212,0.1428571428571428,12.0,0.018626418737369033,CA,Redondo Beach,Single Family Residential
2023-01-31,1385000.0,1262500.0,814.8477770029405,755.1377988482867,8.0,7.0,13.0,33.0,4.1,87.0,0.9700517072780008,0.125,0.1818181818181818,0.4285714285714285,10.83,-0.06885086306590305,CA,Redondo Beach,Single Family Residential
2023-02-28,1507500.0,1500000.0,1060.5374603710875,758.6206896551724,10.0,9.0,10.0,27.0,2.7,93.0,0.9975921770683271,0.5,0.3703703703703703,0.2222222222222222,10.51,0.3015160503619567,CA,Redondo Beach,Single Family Residential
2023-03-31,1459250.0,1460000.0,801.4682266574903,802.9061469560512,18.0,16.0,20.0,28.0,1.6,49.0,0.9839554060644128,0.3333333333333333,0.2857142857142857,0.4375,9.55,-0.2442810776556139,CA,Redondo Beach,Single Family Residential
2023-04-30,1580000.0,1343982.0,942.4083769633507,773.1618859215298,11.0,13.0,18.0,30.0,2.7,30.0,1.0026215811862773,0.3636363636363636,0.2,0.5384615384615384,8.85,0.175852448815905,CA,Redondo Beach,Single Family Residential
2023-05-31,1537000.0,1398000.0,1089.6898575020955,792.2929762230118,19.0,20.0,19.0,25.0,1.3,33.0,1.024007176220816,0.631578947368421,0.16,0.5999999999999999,8.56,0.15628201546055687,CA,Redondo Beach,Single Family Residential
2023-06-30,1526000.0,1388000.0,1000.2628811777076,769.48989412897,23.0,22.0,30.0,30.0,1.3,19.0,1.0306670533160007,0.6956521739130433,0.1333333333333333,0.5,8.41,-0.08206644827307286,CA,Redondo Beach,Single Family Residential
2023-07-31,1593000.0,1399000.0,966.3169519602428,836.0128617363343,21.0,16.0,28.0,38.0,1.8,18.0,1.040180010360623,0.7142857142857143,0.1842105263157894,0.3125,8.09,-0.033937007816882026,CA,Redondo Beach,Single Family Residential
2023-08-31,1316000.0,1395000.0,946.4285714285712,844.3282381335479,19.0,15.0,16.0,37.0,1.9,29.0,0.9963586071594832,0.4210526315789473,0.3243243243243243,0.2,7.15,-0.020581632653061344,CA,Redondo Beach,Single Family Residential
2023-09-30,1430000.0,1399000.0,1002.8818443804034,793.2636469221835,17.0,16.0,17.0,35.0,2.1,31.0,1.0105189202445826,0.4705882352941176,0.3142857142857142,0.25,6.39,0.05964874123212471,CA,Redondo Beach,Single Family Residential
