period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,,,,,,,,,,,,,,,0.28,0.0
2019-02-28,,,,,,,,,,,,,,,0.28,
2019-03-31,,,,,,,,,,,,,,,0.28,
2019-04-30,,,,,,,,,,,,,,,0.0,
2019-05-31,109000.0,,126.1574074074074,,1.0,,,,,107.0,0.909090909090909,0.0,,,0.0,
2019-06-30,,,,,,,,,,,,,,,0.0,0.0
2019-07-31,178000.0,259495.0,131.65680473372782,132.89953969151256,1.0,1.0,1.0,1.0,1.0,35.0,1.0171428571428571,1.0,,0.0,0.0,0.0435915531187234
2019-08-31,168000.0,,131.25,,1.0,1.0,,,,28.0,0.9882352941176472,0.0,,0.0,0.0,-0.0030898876404495
2019-09-30,,,,,,,,,,,,,,,0.0,0.0
2019-10-31,,,,,,,,,,,,,,,0.16,0.0
2019-11-30,,,,,,,,,,,,,,,0.16,0.0
2019-12-31,,,,,,,,,,,,,,,0.82,0.0
2020-01-31,,,,,,,,,,,,,,,1.02,0.0
2020-02-29,,,,,,,,,,,,,,,1.29,0.0
2020-03-31,,,,,,,,,,,,,,,0.7,0.0
2020-04-30,,,,,,,,,,,,,,,1.81,0.0
2020-05-31,,,,,,,,,,,,,,,1.84,0.0
2020-06-30,,,,,,,,,,,,,,,2.23,0.0
2020-07-31,180000.0,,144.0,,1.0,1.0,,,,42.0,1.0,0.0,,0.0,1.83,0.0971428571428572
2020-08-31,,,,,,,,,,,,,,,1.86,0.0
2020-09-30,,,,,,,,,,,,,,,2.11,0.0
2020-10-31,,,,,,,,,,,,,,,1.41,0.0
2020-11-30,,,,,,,,,,,,,,,1.72,0.0
2020-12-31,,,,,,,,,,,,,,,1.73,0.0
2021-01-31,,,,,,,,,,,,,,,2.76,0.0
2021-02-28,165500.0,,114.93055555555556,,1.0,,,1.0,1.0,8.0,1.1033333333333333,1.0,1.0,,2.62,-0.2018711419753086
2021-03-31,,,,,,,,,,,,,,,2.61,0.0
2021-04-30,237000.0,321500.0,134.0497737556561,161.6187566750515,1.0,,1.0,2.0,2.0,2.0,1.0085106382978724,1.0,0.5,,2.85,0.1663545269374307
2021-05-31,170000.0,,177.3399014778325,,3.0,2.0,,,,56.0,0.9943488106450772,0.3333333333333333,,0.0,3.29,0.3229406996321007
2021-06-30,,,,,,,,,,,,,,,2.99,0.0
2021-07-31,,,,,,,,,,,,,,,1.69,0.0
2021-08-31,,,,,,,,,,,,,,,1.32,0.0
2021-09-30,,,,,,,,,,,,,,,2.25,0.0
2021-10-31,,,,,,,,,,,,,,,2.66,0.0
2021-11-30,,,,,,,,,,,,,,,2.45,0.0
2021-12-31,,,,,,,,,,,,,,,2.3,0.0
2022-01-31,,,,,,,,,,,,,,,2.63,0.0
2022-02-28,,,,,,,,,,,,,,,2.7,0.0
2022-03-31,,,,,,,,,,,,,,,2.19,0.0
2022-04-30,,,,,,,,,,,,,,,2.09,0.0
2022-05-31,,,,,,,,,,,,,,,2.6,0.0
2022-06-30,253750.0,,215.229613282892,,2.0,1.0,,,,24.0,0.9778126799842372,0.0,,0.0,2.42,0.213655874900752
2022-07-31,,,,,,,,,,,,,,,2.15,0.0
2022-08-31,,,,,,,,,,,,,,,1.79,0.0
2022-09-30,,,,,,,,,,,,,,,2.12,0.0
2022-10-31,,,,,,,,,,,,,,,2.9,0.0
2022-11-30,,,,,,,,,,,,,,,2.93,0.0
2022-12-31,,,,,,,,,,,,,,,2.91,0.0
2023-01-31,,,,,,,,,,,,,,,2.16,0.0
2023-02-28,,,,,,,,,,,,,,,2.8,0.0
2023-03-31,,,,,,,,,,,,,,,2.96,0.0
2023-04-30,,,,,,,,,,,,,,,3.77,0.0
2023-05-31,200000.0,,223.2142857142857,,1.0,,,1.0,1.0,165.0,1.0005002501250626,1.0,,,3.6,0.0370983913858491
2023-06-30,330000.0,,196.5455628350209,,1.0,1.0,,,,85.0,1.0003031221582297,1.0,,0.0,3.58,-0.1194758784991063
2023-07-31,,,,,,,,,,,,,,,,
2023-08-31,,,,,,,,,,,,,,,,
2023-09-30,,,,,,,,,,,,,,,,
2023-10-31,,,,,,,,,,,,,,,2.7041227936744687,0.008678064858370454
2023-11-30,,,,,,,,,,,,,,,2.3518949049711226,-0.005324239684724119
2023-12-31,,,,,,,,,,,,,,,4.003584637641906,-0.028207690204975114
2024-01-31,,,,,,,,,,,,,,,2.6639548450708386,0.028374772026690285
2024-02-29,,,,,,,,,,,,,,,2.4377658468484875,-0.0013169585619730523
2024-03-31,,,,,,,,,,,,,,,3.8544301044940945,0.005025356402778229
2024-04-30,,,,,,,,,,,,,,,1.9344053071737288,0.013300084583239346
2024-05-31,,,,,,,,,,,,,,,3.2220224881172177,-0.016371250647771802
2024-06-30,,,,,,,,,,,,,,,4.364863151311874,-0.022633360555743613
2024-07-31,,,,,,,,,,,,,,,1.7455866241455076,0.05288969475299945
2024-08-31,,,,,,,,,,,,,,,1.5780311909317968,-0.0011558602614994721
2024-09-30,,,,,,,,,,,,,,,2.46886744081974,0.004420017808289978
2024-10-31,,,,,,,,,,,,,,,2.1711340802907944,-0.010787333303570368
2024-11-30,,,,,,,,,,,,,,,2.3459005540609357,-0.002663568307203522
2024-12-31,,,,,,,,,,,,,,,2.4785710716247555,0.0001615953835287882
2025-01-31,,,,,,,,,,,,,,,2.396743327975273,-0.016442305946708837
