period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,,,,,,,,,,,,,,,0.0,0.0
2019-02-28,,,,,,,,,,,,,,,0.0,
2019-03-31,,,,,,,,,,,,,,,0.61,
2019-04-30,,,,,,,,,,,,,,,0.61,
2019-05-31,410000.0,,170.83333333333334,,1.0,1.0,,1.0,1.0,105.0,0.942745458726144,0.0,1.0,0.0,0.61,
2019-06-30,,,,,,,,,,,,,,,0.45,0.0
2019-07-31,540000.0,,270.54108216432866,,1.0,2.0,,1.0,1.0,60.0,0.9819967266775776,0.0,,0.0,0.45,0.5836551151082652
2019-08-31,520000.0,425450.0,171.53015429241697,242.5460919878396,2.0,1.0,1.0,1.0,0.5,60.0,0.9693516360183028,0.0,,0.0,0.45,-0.3659737259858069
2019-09-30,540000.0,409000.0,235.39668700959024,236.98275862068965,1.0,,1.0,2.0,2.0,53.0,1.0001852194850898,1.0,0.5,,0.14,0.3723341413679162
2019-10-31,,,,,,,,,,,,,,,0.14,0.0
2019-11-30,560000.0,369900.0,203.9329934450109,245.6140350877193,1.0,1.0,1.0,2.0,2.0,24.0,0.991150442477876,0.0,0.5,0.0,0.14,-0.1336624315502684
2019-12-31,520000.0,,178.38765008576328,,1.0,2.0,,,,45.0,0.9721443260422508,0.0,,0.0,0.07,-0.1252634158294535
2020-01-31,414750.0,,205.3792323503904,,2.0,,,,,49.0,1.1570840952018877,0.5,,,0.07,0.151308581348823
2020-02-29,,,,,,,,,,,,,,,0.3,0.0
2020-03-31,,,,,,,,,,,,,,,0.37,0.0
2020-04-30,,,,,,,,,,,,,,,1.42,0.0
2020-05-31,,,,,,,,,,,,,,,3.06,0.0
2020-06-30,535000.0,,203.4220532319392,,1.0,,,,,11.0,1.009624457444801,1.0,,,4.55,-0.0095295862977621
2020-07-31,779900.0,489899.5,270.6106870229008,263.94289175539177,1.0,2.0,3.0,1.0,1.0,20.0,1.0,0.0,,0.0,5.75,0.3302917885424838
2020-08-31,569916.0,419900.0,314.003305785124,252.4460810099948,1.0,2.0,1.0,,,27.0,1.0,0.0,,0.5,4.85,0.1603507209549008
2020-09-30,775000.0,424900.0,239.64131106988248,250.89605734767025,1.0,1.0,2.0,1.0,1.0,20.0,1.0617892862035896,1.0,,0.0,4.45,-0.2368191459937312
2020-10-31,535000.0,404950.0,254.39683663833804,252.5133402797512,2.0,1.0,1.0,1.0,0.5,16.0,0.9930461005879676,0.5,,1.0,3.71,0.0615733802430777
2020-11-30,605000.0,,213.3286318758815,,1.0,1.0,,,,6.0,1.008501416902817,1.0,,0.0,4.14,-0.1614336298561799
2020-12-31,725000.0,437450.0,209.81323816076136,250.94783661985548,2.0,1.0,1.0,,,27.0,1.0305849390566149,0.5,,1.0,4.67,-0.0164787712001335
2021-01-31,,,,,,,,,,,,,,,5.92,0.0
2021-02-28,,,,,,,,,,,,,,,6.09,0.0
2021-03-31,560100.0,,215.8381502890173,,1.0,,,1.0,1.0,3.0,1.0001785714285714,1.0,,,6.51,0.0287155957415785
2021-04-30,,,,,,,,,,,,,,,5.84,0.0
2021-05-31,675000.0,,237.2583479789104,,1.0,,,1.0,1.0,92.0,1.0228822548871042,1.0,,,6.44,0.0992419443050751
2021-06-30,,,,,,,,,,,,,,,6.52,0.0
2021-07-31,,,,,,,,,,,,,,,6.88,0.0
2021-08-31,750000.0,489900.0,258.26446280991735,282.7137613126956,1.0,2.0,2.0,3.0,3.0,5.0,1.1031033975584643,1.0,0.3333333333333333,1.0,7.06,0.0885368839914293
2021-09-30,514250.0,459950.0,241.223125628874,275.92762204992755,2.0,,1.0,4.0,2.0,8.0,1.0398898885596124,1.0,0.25,,6.73,-0.0659840575649999
2021-10-31,,,,,,,,,,,,,,,6.87,0.0
2021-11-30,605000.0,,223.11133646336407,,2.0,1.0,,1.0,0.5,109.0,0.9739857491801304,0.0,,0.0,6.94,-0.0750831377310615
2021-12-31,555000.0,452500.0,321.18055555555554,278.4316340479445,1.0,,1.0,2.0,2.0,60.0,0.9406779661016949,0.0,,,7.77,0.4395528288554486
2022-01-31,,,,,,,,,,,,,,,7.8,0.0
2022-02-28,,,,,,,,,,,,,,,8.52,0.0
2022-03-31,,,,,,,,,,,,,,,8.1,0.0
2022-04-30,760000.0,,241.11675126903555,,1.0,,,1.0,1.0,60.0,1.0425240054869684,1.0,,,10.09,-0.2492797365893811
2022-05-31,,,,,,,,,,,,,,,10.33,0.0
2022-06-30,755000.0,575000.0,190.9458775923116,304.3478260869565,1.0,2.0,1.0,2.0,2.0,126.0,0.9107358262967432,0.0,,0.5,10.57,-0.2080770971434655
2022-07-31,695000.0,556500.0,267.3076923076923,304.161279896574,1.0,1.0,1.0,1.0,1.0,28.0,1.0,0.0,,0.0,8.5,0.3999133978604177
2022-08-31,800000.0,,283.6879432624113,,1.0,1.0,,,,14.0,1.0001250156269534,1.0,,0.0,8.44,0.0612786366651356
2022-09-30,,,,,,,,,,,,,,,8.45,0.0
2022-10-31,628500.0,519900.0,275.85730088495575,308.34542815674894,2.0,1.0,2.0,1.0,0.5,17.0,0.9893124065769804,0.5,,1.0,10.52,-0.0276030143805308
2022-11-30,,,,,,,,,,,,,,,11.68,0.0
2022-12-31,660000.0,464900.0,246.26865671641792,326.16580161476355,1.0,,1.0,1.0,1.0,23.0,0.9850746268656716,0.0,,,12.4,-0.1072606890360228
2023-01-31,,,,,,,,,,,,,,,10.1,0.0
2023-02-28,700000.0,489450.0,376.3440860215054,304.0959918627301,1.0,2.0,2.0,2.0,2.0,6.0,0.9333333333333332,0.0,,0.5,9.2,0.5281850765721734
2023-03-31,,,,,,,,,,,,,,,8.85,0.0
2023-04-30,475000.0,450000.0,275.52204176334106,311.59420289855075,1.0,1.0,1.0,1.0,1.0,18.0,0.9047619047619048,0.0,,0.0,9.67,-0.2678985747431224
2023-05-31,775000.0,549900.0,237.73006134969324,315.29365392195507,1.0,1.0,2.0,2.0,2.0,66.0,0.982256020278834,0.0,,0.0,10.61,-0.1371649983855344
2023-06-30,700000.0,555900.0,338.9830508474576,319.5673549655851,1.0,,1.0,3.0,3.0,27.0,1.093920925144554,1.0,,,10.5,0.4259158009841444
2023-07-31,,,,,,,,,,,,,,,10.99,0.0
2023-08-31,,,,,,,,,,,,,,,9.78,0.0
2023-09-30,800000.0,562500.0,247.29520865533232,336.866518308167,1.0,1.0,2.0,3.0,3.0,93.0,1.0191147714316653,1.0,,0.0,9.69,-0.2704791344667696
2023-10-31,,,,,,,,,,,,,,,,
2023-11-30,,,,,,,,,,,,,,,,
2023-12-31,,,,,,,,,,,,,,,,
2024-01-31,,,,,,,,,,,,,,,,
2024-02-29,,,,,,,,,,,,,,,,
2024-03-31,,,,,,,,,,,,,,,,
2024-04-30,,,,,,,,,,,,,,,,
2024-05-31,,,,,,,,,,,,,,,,
2024-06-30,,,,,,,,,,,,,,,,
2024-07-31,,,,,,,,,,,,,,,,
2024-08-31,,,,,,,,,,,,,,,,
2024-09-30,,,,,,,,,,,,,,,,
2024-10-31,,,,,,,,,,,,,,,,
2024-11-30,,,,,,,,,,,,,,,,
2024-12-31,,,,,,,,,,,,,,,,
2025-01-31,,,,,,,,,,,,,,,,
2025-02-28,,,,,,,,,,,,,,,,
2025-03-31,,,,,,,,,,,,,,,,
2025-04-30,,,,,,,,,,,,,,,,
2025-05-31,,,,,,,,,,,,,,,,
2025-06-30,,,,,,,,,,,,,,,,
2025-07-31,,,,,,,,,,,,,,,,
2025-08-31,,,,,,,,,,,,,,,,
2025-09-30,,,,,,,,,,,,,,,,
2025-10-31,,,,,,,,,,,,,,,,
2025-11-30,,,,,,,,,,,,,,,,
2025-12-31,,,,,,,,,,,,,,,,
