period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,,,,,,,,,,,,,,,0.0,0.0
2019-02-28,,,,,,,,,,,,,,,0.0,
2019-03-31,181000.0,,75.41666666666667,,1.0,,,,,1.0,1.0055555555555555,1.0,,,0.0,
2019-04-30,,,,,,,,,,,,,,,0.0,0.0
2019-05-31,,,,,,,,,,,,,,,0.0,0.0
2019-06-30,,,,,,,,,,,,,,,0.0,0.0
2019-07-31,,,,,,,,,,,,,,,0.08,0.0
2019-08-31,,,,,,,,,,,,,,,0.08,0.0
2019-09-30,,,,,,,,,,,,,,,0.08,0.0
2019-10-31,,,,,,,,,,,,,,,0.0,0.0
2019-11-30,,,,,,,,,,,,,,,0.0,0.0
2019-12-31,,,,,,,,,,,,,,,0.0,0.0
2020-01-31,,,,,,,,,,,,,,,0.0,0.0
2020-02-29,,,,,,,,,,,,,,,0.0,0.0
2020-03-31,,,,,,,,,,,,,,,0.0,0.0
2020-04-30,,,,,,,,,,,,,,,0.81,0.0
2020-05-31,,,,,,,,,,,,,,,1.16,0.0
2020-06-30,,,,,,,,,,,,,,,1.16,0.0
2020-07-31,,,,,,,,,,,,,,,1.41,0.0
2020-08-31,,,,,,,,,,,,,,,1.71,0.0
2020-09-30,320500.0,,149.7663551401869,,1.0,1.0,,,,50.0,1.0473856209150327,1.0,,0.0,1.9,0.9858522228533068
2020-10-31,,,,,,,,,,,,,,,1.41,0.0
2020-11-30,,,,,,,,,,,,,,,1.8,0.0
2020-12-31,,,,,,,,,,,,,,,2.62,0.0
2021-01-31,,,,,,,,,,,,,,,3.17,0.0
2021-02-28,,,,,,,,,,,,,,,3.84,0.0
2021-03-31,,,,,,,,,,,,,,,3.27,0.0
2021-04-30,,,,,,,,,,,,,,,2.8,0.0
2021-05-31,370000.0,314900.0,147.33542319749216,160.6243705941591,3.0,3.0,1.0,,,35.0,1.0103703703703706,0.3333333333333333,,0.3333333333333333,2.36,-0.0162314956548104
2021-06-30,300000.0,,134.89208633093526,,1.0,,,,,,1.0,0.0,,,3.04,-0.0844558395836522
2021-07-31,,,,,,,,,,,,,,,3.0,0.0
2021-08-31,360000.0,,161.8705035971223,,1.0,,,1.0,1.0,2.0,1.000277854959711,1.0,,,3.93,0.1999999999999999
2021-09-30,398000.0,322500.0,157.19483656301816,169.39522433978652,2.0,2.0,1.0,,,50.0,0.9951237809452362,0.0,,0.5,4.01,-0.0288852318995767
2021-10-31,,,,,,,,,,,,,,,5.22,0.0
2021-11-30,,,,,,,,,,,,,,,4.46,0.0
2021-12-31,,,,,,,,,,,,,,,4.43,0.0
2022-01-31,,,,,,,,,,,,,,,4.87,0.0
2022-02-28,,,,,,,,,,,,,,,5.0,0.0
2022-03-31,403500.0,395000.0,188.0242311276794,174.7249577641179,1.0,1.0,2.0,2.0,2.0,31.0,0.9962962962962963,0.0,,0.0,5.86,0.1961221833918316
2022-04-30,460000.0,374900.0,151.8841017659185,179.7880393641181,2.0,2.0,1.0,1.0,0.5,32.0,1.0637158950656191,1.0,,0.0,5.53,-0.1922099569029464
2022-05-31,460000.0,360000.0,189.76897689768973,188.08193668528864,1.0,2.0,1.0,,,30.0,1.0965435041716327,1.0,,0.5,5.96,0.2494327891549757
2022-06-30,405000.0,,148.7330150569225,,1.0,,,,,4.0,0.9759036144578312,0.0,,,5.21,-0.2162416771783037
2022-07-31,,,,,,,,,,,,,,,4.87,0.0
2022-08-31,,,,,,,,,,,,,,,4.7,0.0
2022-09-30,,,,,,,,,,,,,,,5.85,0.0
2022-10-31,,,,,,,,,,,,,,,6.24,0.0
2022-11-30,520000.0,375000.0,84.7319537233176,185.6765422598436,1.0,1.0,1.0,2.0,2.0,2.0,0.9456264775413712,0.0,1.0,1.0,6.09,-0.4303083703985337
2022-12-31,411000.0,,156.25,,2.0,1.0,,1.0,0.5,43.0,0.9756331134283892,0.0,,0.0,4.68,0.8440504807692304
2023-01-31,,,,,,,,,,,,,,,4.27,0.0
2023-02-28,450000.0,,168.03584764749814,,1.0,,,,,123.0,0.9784735812133072,0.0,,,3.27,0.0754294249439881
2023-03-31,,,,,,,,,,,,,,,3.58,0.0
2023-04-30,,,,,,,,,,,,,,,3.74,0.0
2023-05-31,,,,,,,,,,,,,,,4.64,0.0
2023-06-30,,,,,,,,,,,,,,,4.1,0.0
2023-07-31,465000.0,,126.63398692810458,,1.0,1.0,,,,14.0,1.0,0.0,,1.0,3.2,-0.2463870733478577
2023-08-31,,,,,,,,,,,,,,,,
2023-09-30,,,,,,,,,,,,,,,,
2023-10-31,,,,,,,,,,,,,,,,
2023-11-30,,,,,,,,,,,,,,,,
2023-12-31,,,,,,,,,,,,,,,,
2024-01-31,,,,,,,,,,,,,,,,
2024-02-29,,,,,,,,,,,,,,,,
2024-03-31,,,,,,,,,,,,,,,,
2024-04-30,,,,,,,,,,,,,,,,
2024-05-31,,,,,,,,,,,,,,,,
2024-06-30,,,,,,,,,,,,,,,,
2024-07-31,,,,,,,,,,,,,,,,
2024-08-31,,,,,,,,,,,,,,,,
2024-09-30,,,,,,,,,,,,,,,,
2024-10-31,,,,,,,,,,,,,,,,
2024-11-30,,,,,,,,,,,,,,,,
2024-12-31,,,,,,,,,,,,,,,,
2025-01-31,,,,,,,,,,,,,,,,
2025-02-28,,,,,,,,,,,,,,,,
2025-03-31,,,,,,,,,,,,,,,,
2025-04-30,,,,,,,,,,,,,,,,
2025-05-31,,,,,,,,,,,,,,,,
2025-06-30,,,,,,,,,,,,,,,,
2025-07-31,,,,,,,,,,,,,,,,
2025-08-31,,,,,,,,,,,,,,,,
2025-09-30,,,,,,,,,,,,,,,,
2025-10-31,,,,,,,,,,,,,,,,
2025-11-30,,,,,,,,,,,,,,,,
2025-12-31,,,,,,,,,,,,,,,,
