period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,156000.0,239900.0,134.44444444444446,156.30447414294014,17.0,13.0,24.0,50.0,2.9,49.0,0.9447048784744384,0.0,0.22,0.4615384615384615,0.34,0.0
2019-02-28,133000.0,265000.0,126.3157894736842,173.18453541260558,13.0,17.0,26.0,53.0,4.1,104.0,0.938938300661446,0.0769230769230769,0.2075471698113207,0.4705882352941176,0.67,-0.060461070030448
2019-03-31,213000.0,262450.0,154.57413249211356,178.35557299843015,21.0,27.0,36.0,52.0,2.5,45.0,0.9748624223221996,0.1428571428571428,0.25,0.6296296296296297,1.01,0.2237118822292323
2019-04-30,160500.0,259900.0,131.66643929058662,176.08372456964008,36.0,31.0,47.0,60.0,1.7,14.0,0.9691007293737424,0.1666666666666666,0.3666666666666666,0.4838709677419355,1.0,-0.1481987498955926
2019-05-31,183000.0,275000.0,153.8994000922935,180.8845029239766,31.0,31.0,30.0,57.0,1.8,34.0,0.9704927063579316,0.1612903225806451,0.2456140350877192,0.3225806451612903,1.15,0.1688582217419802
2019-06-30,178000.0,259900.0,156.474129657098,176.4095744680851,29.0,14.0,32.0,72.0,2.5,21.0,0.9675832551546408,0.1379310344827586,0.3472222222222222,0.4285714285714285,1.26,0.0167299519248316
2019-07-31,157000.0,264900.0,149.94933920704847,169.67509025270758,21.0,34.0,39.0,72.0,3.4,31.0,0.956277049062723,0.0952380952380952,0.2638888888888889,0.3823529411764705,1.04,-0.0416988448144631
2019-08-31,158000.0,257450.0,136.51311953352769,172.49310027598895,27.0,25.0,34.0,73.0,2.7,32.0,0.9567783789676354,0.074074074074074,0.273972602739726,0.3599999999999999,0.57,-0.0896050609130607
2019-09-30,163000.0,264900.0,146.87326353347174,169.88459451613468,25.0,17.0,36.0,87.0,3.5,33.0,0.9526925301622968,0.04,0.2413793103448276,0.5294117647058822,0.62,0.0758911966508801
2019-10-31,186000.0,249900.0,146.7082546334553,170.45454545454547,24.0,31.0,33.0,79.0,3.3,45.0,0.9623319836274632,0.0833333333333333,0.3037974683544303,0.3548387096774193,0.91,-0.0011234781337777
2019-11-30,126750.0,229900.0,139.06521739130434,181.1563411896745,23.0,20.0,17.0,70.0,3.0,23.0,0.949174848776929,0.0,0.1428571428571428,0.2,1.4,-0.0520968452746356
2019-12-31,171250.0,249900.0,144.44444444444446,175.0872559920929,26.0,15.0,7.0,51.0,2.0,50.0,0.9709512840756442,0.1153846153846153,0.1764705882352941,0.1333333333333333,1.43,0.0386813263161551
2020-01-31,180000.0,252450.0,147.0499395892066,169.281045751634,17.0,16.0,25.0,52.0,3.1,56.0,0.9403436073271516,0.0,0.25,0.375,1.55,0.0180380433098916
2020-02-29,173000.0,272400.0,140.88470319634703,175.07575757575756,16.0,23.0,29.0,41.0,2.6,92.0,0.9562811184982624,0.0625,0.2195121951219512,0.5652173913043477,1.75,-0.0419261402628422
2020-03-31,175000.0,250000.0,140.87591240875912,161.8191161356629,27.0,27.0,45.0,56.0,2.1,21.0,0.9659198400369856,0.1111111111111111,0.2857142857142857,0.5185185185185184,1.6,-6.239703380472861e-05
2020-04-30,205500.0,259900.0,157.58083440510842,185.1811081638668,18.0,17.0,27.0,63.0,3.5,12.0,0.9590107540221076,0.0,0.2063492063492063,0.2941176470588235,2.46,0.1185789799740857
2020-05-31,148750.0,249900.0,141.0,170.71326748803585,18.0,20.0,33.0,70.0,3.9,14.0,0.9563373852713588,0.0,0.2142857142857142,0.55,3.6,-0.1052211359820728
2020-06-30,143000.0,295500.0,138.22852233676974,178.08219178082192,22.0,31.0,33.0,67.0,3.0,28.0,0.9630240604390264,0.0909090909090909,0.4776119402985074,0.3225806451612903,4.77,-0.0196558699519876
2020-07-31,162000.0,279500.0,151.16772823779192,179.95,29.0,28.0,36.0,64.0,2.2,33.0,0.973376992706976,0.1724137931034482,0.5,0.3928571428571428,4.94,0.0936073516686957
2020-08-31,151750.0,266750.0,136.87191402846355,186.6929631309532,32.0,22.0,31.0,65.0,2.0,22.0,0.9631794501639052,0.125,0.3538461538461538,0.2727272727272727,4.54,-0.0945692204015964
2020-09-30,157000.0,273949.5,134.34897360703812,185.0850850850851,27.0,29.0,37.0,60.0,2.2,35.0,0.9628352518167078,0.1481481481481481,0.2999999999999999,0.3448275862068965,4.1,-0.0184328570206212
2020-10-31,180000.0,280000.0,140.85667215815485,183.6339345357381,36.0,28.0,35.0,66.0,1.8,52.0,0.95397079450149,0.0555555555555555,0.3636363636363636,0.4642857142857143,4.34,0.0484387664185015
2020-11-30,162500.0,269900.0,139.71063189568707,184.4355453342069,26.0,16.0,23.0,70.0,2.7,19.0,0.9646613914045582,0.1153846153846153,0.2857142857142857,0.375,4.45,-0.0081362156645373
2020-12-31,174500.0,299000.0,155.70934256055364,190.20316559644544,22.0,17.0,13.0,55.0,2.5,19.0,0.9569829794846256,0.0909090909090909,0.109090909090909,0.1764705882352941,5.29,0.1145131937905181
2021-01-31,174500.0,225000.0,142.5090909090909,169.65865540153797,18.0,16.0,28.0,55.0,3.1,34.0,0.9286862793206504,0.0,0.1454545454545454,0.125,5.71,-0.0847749494949495
2021-02-28,153500.0,262450.0,143.63636363636363,177.6103336921421,9.0,27.0,32.0,51.0,5.7,79.0,0.9640763608346088,0.0,0.1568627450980392,0.5555555555555555,6.81,0.0079101811686654
2021-03-31,179500.0,299999.0,152.38259292837716,186.86481303930967,40.0,36.0,35.0,45.0,1.1,33.0,0.9692460838800776,0.1,0.3111111111111111,0.3888888888888889,7.25,0.0608914697545246
2021-04-30,168500.0,299000.0,159.375,183.3165601394538,38.0,35.0,44.0,49.0,1.3,31.0,0.9705349218831478,0.1842105263157894,0.2857142857142857,0.5142857142857142,7.26,0.0458871773819298
2021-05-31,180000.0,299700.0,150.29949489403754,186.9127516778524,43.0,44.0,45.0,46.0,1.1,18.0,0.9793144345300306,0.3023255813953488,0.1956521739130434,0.7272727272727272,7.32,-0.0569443457629017
2021-06-30,166000.0,279900.0,151.2,195.23529273894903,41.0,32.0,59.0,69.0,1.7,10.0,0.981525339918844,0.1951219512195122,0.2608695652173913,0.4375,6.53,0.0059914047389002
2021-07-31,166000.0,292475.0,142.85714285714286,186.7116687673887,35.0,44.0,45.0,65.0,1.9,14.0,0.9728226413657656,0.2,0.3846153846153846,0.5454545454545454,5.86,-0.0551776266061979
2021-08-31,182000.0,306500.0,150.0,192.5227805259047,37.0,29.0,35.0,67.0,1.8,22.0,0.9766362666839448,0.1351351351351351,0.4477611940298507,0.3448275862068965,5.62,0.05
2021-09-30,182500.0,273700.0,160.85790884718497,182.59766615931,33.0,33.0,50.0,74.0,2.2,14.0,0.9772727111225508,0.2121212121212121,0.4054054054054054,0.5454545454545454,5.22,0.072386058981233
2021-10-31,186250.0,279900.0,151.8954248366013,193.75,28.0,27.0,35.0,79.0,2.8,32.0,0.9786195260357856,0.2857142857142857,0.379746835443038,0.2222222222222222,6.14,-0.0557167755991284
2021-11-30,178750.0,292500.0,148.0,192.23076923076923,38.0,19.0,24.0,75.0,2.0,44.0,0.9681567615619128,0.0789473684210526,0.3733333333333333,0.2105263157894736,5.58,-0.0256454388984509
2021-12-31,139000.0,262500.0,139.4034671682067,201.7755198836196,24.0,33.0,17.0,51.0,2.1,53.0,0.9565443252224636,0.0833333333333333,0.1372549019607843,0.2727272727272727,6.07,-0.0580846812959006
2022-01-31,190000.0,282400.0,157.95868772782504,191.33937562940585,29.0,13.0,23.0,59.0,2.0,51.0,0.9776117481693932,0.2068965517241379,0.1016949152542372,0.3846153846153846,5.74,0.1331044409191721
2022-02-28,167017.0,284900.0,160.43478260869566,194.75298093719147,30.0,15.0,34.0,69.0,2.3,48.0,0.975126880929566,0.2333333333333333,0.0144927536231884,0.2,5.49,0.0156755852842809
2022-03-31,213750.0,299950.0,169.7019867549669,186.68947941714453,44.0,31.0,34.0,55.0,1.3,47.0,0.980310256172898,0.2272727272727272,0.0181818181818181,0.1290322580645161,6.0,0.0577630610743193
2022-04-30,163000.0,319000.0,170.98062104025513,212.7584025794017,33.0,35.0,39.0,54.0,1.6,44.0,1.0046475328415,0.4545454545454545,0.0925925925925925,0.1714285714285714,6.25,0.0075345864225764
2022-05-31,176000.0,325000.0,177.77777777777777,213.27849588719155,33.0,27.0,29.0,54.0,1.6,36.0,1.006989621644084,0.696969696969697,0.0925925925925925,0.037037037037037,8.04,0.0397539598123364
2022-06-30,222500.0,299949.5,188.5150812064965,217.2013403263404,36.0,33.0,29.0,46.0,1.3,43.0,1.0092563076917314,0.611111111111111,0.1304347826086956,0.0606060606060606,8.76,0.0603973317865427
2022-07-31,168500.0,317000.0,168.5,208.16666666666663,20.0,22.0,21.0,43.0,2.2,43.0,0.9913136344605324,0.3499999999999999,0.2093023255813953,0.0909090909090909,9.05,-0.1061723076923075
2022-08-31,217500.0,295000.0,160.0,199.6764705882353,20.0,17.0,32.0,53.0,2.7,46.0,0.9923855522183456,0.3499999999999999,0.1886792452830188,0.0588235294117647,8.61,-0.0504451038575667
