period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,155250.0,159900.0,104.892649105624,118.86688311688312,2.0,1.0,1.0,1.0,0.5,73.0,0.9497675461849026,0.0,,1.0,0.0,0.0
2019-02-28,175000.0,188950.0,108.69565217391305,134.024727764532,1.0,,1.0,2.0,2.0,53.0,0.9727626459143968,0.0,0.5,,0.0,0.0362561447414635
2019-03-31,84000.0,194900.0,85.3658536585366,129.64071856287424,1.0,2.0,4.0,4.0,4.0,8.0,0.8408408408408408,0.0,0.25,0.0,0.0,-0.2146341463414633
2019-04-30,,,,,,,,,,,,,,,0.0,0.0
2019-05-31,176000.0,174900.0,122.59774685222,127.59543109801032,3.0,1.0,2.0,3.0,1.0,19.0,0.9972519291044886,0.6666666666666666,0.3333333333333333,1.0,0.0,0.436145034554577
2019-06-30,155000.0,,122.626582278481,,1.0,1.0,,1.0,1.0,46.0,1.0,0.0,,1.0,0.0,0.0002352035579884
2019-07-31,162000.0,,128.16455696202533,,3.0,1.0,,,,6.0,0.9898849824618648,0.3333333333333333,,0.0,0.0,0.0451612903225808
2019-08-31,181900.0,199900.0,104.90196078431372,144.0495422724825,1.0,1.0,2.0,1.0,1.0,109.0,1.0111172873818788,1.0,,1.0,0.0,-0.1815056886952313
2019-09-30,125000.0,215450.0,125.0,143.01125703564728,1.0,,1.0,2.0,2.0,11.0,1.00080064051241,1.0,,,0.0,0.191588785046729
2019-10-31,59000.0,182450.0,84.04558404558405,136.4878048780488,1.0,,3.0,5.0,5.0,478.0,1.0350877192982455,1.0,,,0.0,-0.3276353276353275
2019-11-30,,,,,,,,,,,,,,,0.0,0.0
2019-12-31,90000.0,159900.0,71.20253164556962,125.85185185185183,1.0,,1.0,5.0,5.0,30.0,0.8256880733944953,0.0,,,0.65,-0.152810555674748
2020-01-31,,,,,,,,,,,,,,,1.29,0.0
2020-02-29,165700.0,209900.0,132.66283716283715,129.2038595983676,2.0,,1.0,2.0,1.0,49.0,1.0058375029341406,0.5,,,1.4,0.8631758463758461
2020-03-31,128000.0,219900.0,128.0,140.72327044025158,1.0,,2.0,3.0,3.0,156.0,0.9846153846153846,0.0,0.6666666666666666,,1.2,-0.0351480283593945
2020-04-30,205000.0,184900.0,113.88888888888889,141.50521609538004,1.0,2.0,1.0,2.0,2.0,105.0,0.953932061423918,0.0,,0.5,1.53,-0.1102430555555555
2020-05-31,233000.0,209900.0,137.05882352941177,141.2829093362211,1.0,,1.0,3.0,3.0,8.0,1.036016007114273,1.0,,,2.47,0.2034433285509327
2020-06-30,210000.0,219900.0,130.43478260869566,146.82391154205052,1.0,1.0,1.0,2.0,2.0,40.0,1.0004764173415912,1.0,,1.0,3.07,-0.0483299122970704
2020-07-31,179000.0,189900.0,131.36461062157656,143.05724725943972,2.0,3.0,5.0,4.0,2.0,53.0,0.982565797711166,0.5,1.0,0.6666666666666666,2.48,0.007128681432087
