period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,189000.0,244950.0,129.01637835848362,129.67446648172825,14.0,17.0,12.0,15.0,1.1,41.0,0.9883642080480592,0.2142857142857142,0.2666666666666666,0.1176470588235294,0.0,0.0
2019-02-28,195750.0,286500.0,125.61655961791833,135.49642487336635,20.0,19.0,30.0,23.0,1.2,56.0,0.9994406949236888,0.2999999999999999,0.0869565217391304,0.631578947368421,0.0,-0.0263518383000845
2019-03-31,200000.0,294900.0,132.6259946949602,135.3994490358127,15.0,26.0,29.0,25.0,1.7,20.0,1.0089703426764736,0.7333333333333332,0.2,0.4615384615384615,0.0,0.0558002471836684
2019-04-30,208000.0,265000.0,134.89499192245555,138.22115384615384,29.0,28.0,34.0,31.0,1.1,16.0,1.0114428216424491,0.5172413793103448,0.2580645161290322,0.5357142857142857,0.41,0.0171082390953147
2019-05-31,195900.0,288000.0,136.70761572122524,134.228515625,30.0,39.0,42.0,33.0,1.1,19.0,1.0152915026925873,0.7666666666666667,0.1818181818181818,0.3333333333333333,0.41,0.0134372949872867
2019-06-30,208000.0,275000.0,140.15151515151516,132.78008298755188,39.0,38.0,39.0,33.0,0.8,15.0,1.0175737333963089,0.6153846153846154,0.303030303030303,0.5263157894736841,0.81,0.0251917160000267
2019-07-31,199500.0,288700.0,135.9413356479118,129.81090588212663,42.0,33.0,38.0,38.0,0.9,20.0,1.0081322463001894,0.5,0.1842105263157894,0.5757575757575758,0.59,-0.030040199701386
2019-08-31,214500.0,274900.0,131.93768222149242,132.89869608826478,32.0,33.0,34.0,38.0,1.2,19.0,1.0019910866063233,0.40625,0.1578947368421052,0.3333333333333333,1.0,-0.0294513321304188
2019-09-30,206000.0,274950.0,134.04170230289208,132.27075157080068,38.0,33.0,40.0,40.0,1.1,18.0,1.0097343213681425,0.4736842105263157,0.275,0.4242424242424242,0.79,0.0159470747550916
2019-10-31,208750.0,255000.0,139.81506795813155,135.32745591939548,34.0,28.0,28.0,40.0,1.2,22.0,0.998746171299703,0.4411764705882352,0.4249999999999999,0.25,0.85,0.0430714140155688
2019-11-30,203000.0,282400.0,139.97395833333334,129.63502308984047,17.0,22.0,16.0,33.0,1.9,20.0,0.9967113560639266,0.2941176470588235,0.3333333333333333,0.2727272727272727,0.74,0.0011364324140612
2019-12-31,205000.0,239900.0,133.92857142857142,130.37350246652574,29.0,18.0,16.0,29.0,1.0,34.0,0.9968875823834686,0.4137931034482758,0.1724137931034482,0.1666666666666666,0.55,-0.0431893687707642
2020-01-31,200000.0,289900.0,137.28323699421966,141.42011834319527,15.0,17.0,17.0,22.0,1.5,31.0,0.9957940011753332,0.4,0.2272727272727272,0.1764705882352941,0.3,0.0250481695568403
2020-02-29,213000.0,299900.0,132.6259946949602,136.45948945615982,21.0,25.0,36.0,30.0,1.4,52.0,0.9945648805756628,0.2857142857142857,0.1333333333333333,0.52,0.2,-0.0339243333798688
2020-03-31,226000.0,292500.0,142.77828521504307,135.69964902600884,24.0,25.0,32.0,36.0,1.5,25.0,1.0012426678894004,0.5416666666666666,0.1666666666666666,0.52,0.2,0.0765482705214246
2020-04-30,234000.0,289900.0,134.81756338899197,139.39964965670114,29.0,24.0,29.0,40.0,1.4,13.0,1.0149333858048213,0.6206896551724138,0.1499999999999999,0.3333333333333333,0.94,-0.0557558301954753
2020-05-31,215000.0,289900.0,137.975970192465,136.57456978967494,28.0,39.0,41.0,38.0,1.4,27.0,1.0018056181772064,0.4285714285714285,0.0789473684210526,0.4871794871794871,1.38,0.0234272651431921
2020-06-30,217000.0,299900.0,137.83269961977186,142.00913242009133,39.0,47.0,37.0,27.0,0.6999999999999998,16.0,1.0045553435501833,0.4871794871794871,0.2592592592592592,0.4680851063829787,2.49,-0.001038373366705
2020-07-31,215000.0,299900.0,147.78304748806733,144.95,42.0,28.0,38.0,37.0,0.9,18.0,1.0196000448283955,0.5952380952380952,0.081081081081081,0.4285714285714285,2.41,0.0721914893617023
2020-08-31,220000.0,299950.0,149.05432298182546,144.51809274496645,34.0,35.0,35.0,31.0,0.9,19.0,1.0179073150844204,0.6470588235294118,0.1935483870967741,0.5142857142857142,2.82,0.0086023093674583
2020-09-30,227750.0,274900.0,146.7400311370028,145.3897338403042,32.0,44.0,45.0,32.0,1.0,17.0,1.0281608675476328,0.75,0.25,0.4772727272727272,2.72,-0.0155264993226988
2020-10-31,230000.0,297450.0,151.3911620294599,144.71774105721704,51.0,40.0,29.0,21.0,0.4,17.0,1.0115844596983128,0.6078431372549019,0.238095238095238,0.275,3.43,0.0316964011552827
2020-11-30,235000.0,299900.0,145.89828897338404,146.11366286324687,31.0,18.0,23.0,25.0,0.8,22.0,1.0016916774135198,0.4193548387096774,0.3599999999999999,0.3888888888888889,3.25,-0.0362826533758092
2020-12-31,221818.0,329994.0,155.37709497206703,153.6600284120804,23.0,18.0,9.0,16.0,0.6999999999999998,18.0,1.0082952909969538,0.5652173913043477,0.3125,0.2777777777777777,3.42,0.0649685891820992
2021-01-31,217450.0,309900.0,155.7615291262136,141.3743154771863,16.0,16.0,19.0,17.0,1.1,28.0,1.0128358860709192,0.625,0.1176470588235294,0.5,3.27,0.0024742009381477
2021-02-28,218555.0,319900.0,151.1826544021025,149.24610778259728,13.0,18.0,21.0,18.0,1.4,22.0,1.0209582359945832,0.6923076923076922,0.1666666666666666,0.6666666666666666,4.24,-0.0293966985930193
2021-03-31,225000.0,329900.0,148.59366391184574,150.21670037561398,21.0,26.0,27.0,18.0,0.9,14.0,1.0341515890995645,0.6666666666666666,0.0555555555555555,0.5384615384615384,4.29,-0.017124917540942
2021-04-30,226250.0,304950.0,158.6921844598482,156.6498012379888,30.0,29.0,34.0,23.0,0.8,14.0,1.0373862280263308,0.6666666666666666,0.0434782608695652,0.6206896551724138,4.53,0.0679606403271237
2021-05-31,248500.0,344900.0,165.77804996667686,155.68592057761734,24.0,28.0,21.0,14.0,0.5999999999999999,14.0,1.0433279141755418,0.75,0.2142857142857142,0.6785714285714286,3.94,0.0446516350565551
2021-06-30,229697.0,325000.0,167.27140783744557,162.21921790784066,25.0,36.0,54.0,32.0,1.3,11.0,1.0533967630395027,0.8,0.09375,0.6388888888888888,3.39,0.009008176119027
2021-07-31,250000.0,299950.0,163.67081827840235,159.18942198011965,44.0,35.0,37.0,34.0,0.8,13.0,1.049216450432377,0.8409090909090909,0.2058823529411764,0.4285714285714285,2.99,-0.0215254334592691
2021-08-31,240000.0,342900.0,174.54343744666326,159.37101572460688,34.0,35.0,32.0,31.0,0.9,16.0,1.0350442718362225,0.676470588235294,0.2903225806451613,0.3142857142857142,2.89,0.0664297966041
2021-09-30,235000.0,343500.0,171.2046204620462,165.17844111317214,35.0,25.0,31.0,36.0,1.0,20.0,1.0240771402906148,0.5999999999999999,0.3888888888888889,0.3599999999999999,3.69,-0.0191288600331211
2021-10-31,243939.0,327500.0,161.55088852988692,153.25647398544248,27.0,26.0,23.0,29.0,1.1,31.0,1.0079604326317668,0.4444444444444444,0.2413793103448276,0.3461538461538461,4.28,-0.0563870992856725
2021-11-30,237500.0,300000.0,156.23330931287356,157.66653527788728,24.0,21.0,15.0,19.0,0.8,34.0,1.0123139406718458,0.4583333333333333,0.3684210526315789,0.2857142857142857,4.34,-0.0329158153533126
2021-12-31,235000.0,300000.0,163.06217901687455,161.0305958132045,24.0,17.0,13.0,14.0,0.5999999999999999,25.0,1.0061955961908324,0.4583333333333333,0.1428571428571428,0.2941176470588235,3.78,0.0437094351648499
2022-01-31,244450.0,297450.0,170.04958352598564,168.7095217337153,18.0,17.0,23.0,18.0,1.0,19.0,1.022813194670586,0.6666666666666666,0.1111111111111111,0.3529411764705882,3.85,0.0428511660474497
2022-02-28,246500.0,365000.0,174.71819645732688,168.31030314689957,18.0,22.0,18.0,12.0,0.6999999999999998,17.0,1.0411141303655127,0.8333333333333333,0.1666666666666666,0.5454545454545454,4.6,0.0274544214371912
2022-03-31,260000.0,374000.0,182.11920529801324,159.6307385229541,23.0,17.0,19.0,14.0,0.5999999999999999,16.0,1.0444174971309628,0.6521739130434782,0.0714285714285714,0.588235294117647,5.52,0.0423596911526842
2022-04-30,327000.0,345450.0,166.5892221350552,160.70658799367396,14.0,25.0,26.0,14.0,1.0,13.0,1.0385011260768773,0.8571428571428571,,0.76,5.79,-0.0852737257311514
2022-05-31,259000.0,374900.0,176.54398003742983,173.91304347826087,25.0,30.0,30.0,14.0,0.5999999999999999,10.0,1.065281596199007,0.92,0.1428571428571428,0.5,5.89,0.0597563142128381
2022-06-30,267500.0,350000.0,186.3432433199875,168.63845293932272,28.0,22.0,33.0,25.0,0.9,15.0,1.063311433264868,0.7857142857142857,0.2399999999999999,0.6818181818181817,6.42,0.0555060743531445
2022-07-31,255000.0,350000.0,195.66993464052288,164.42307692307693,27.0,30.0,38.0,33.0,1.2,19.0,1.042758226120286,0.7777777777777777,0.5757575757575758,0.3666666666666666,6.89,0.0500511376445222
2022-08-31,250500.0,349900.0,171.287634211363,164.51081843838193,34.0,33.0,27.0,27.0,0.8,21.0,1.010679435075828,0.4411764705882352,0.4814814814814814,0.4242424242424242,6.59,-0.1246093349699026
2022-09-30,251000.0,349000.0,171.95767195767195,168.75349612957888,29.0,20.0,31.0,37.0,1.3,16.0,1.0155270068507631,0.5172413793103448,0.4324324324324324,0.55,6.99,0.0039117695179451
2022-10-31,249900.0,349900.0,159.85915492957747,168.98569570871263,17.0,18.0,23.0,41.0,2.4,16.0,1.0106652457758734,0.4705882352941176,0.5365853658536585,0.0,6.8,-0.0703575297941494
2022-11-30,247500.0,302150.0,174.73474801061008,167.9072374017764,21.0,20.0,18.0,37.0,1.8,35.0,0.9845110078236262,0.2857142857142857,0.7297297297297297,0.05,6.6,0.09305437081527
2022-12-31,248400.0,279900.0,161.52716593245228,163.04347826086956,19.0,17.0,11.0,29.0,1.5,35.0,0.9949432680395504,0.1578947368421052,0.2758620689655172,0.0588235294117647,5.68,-0.0755864659349599
2023-01-31,238950.0,365000.0,174.4742623979912,168.88909727431857,14.0,14.0,5.0,17.0,1.2,49.0,0.978756470261452,0.2857142857142857,0.7647058823529411,0.0714285714285714,4.93,0.0801542972093818
2023-02-28,236500.0,329700.0,176.10338704088704,175.82344322344323,16.0,9.0,12.0,13.0,0.8,75.0,0.989226088123515,0.3125,0.3076923076923077,0.5555555555555555,6.15,0.0093373350344343
